Case,Case Name,Notification Date,Decision Date,Decision,Phase,Sector,Language,Link
M.10889,CNP / CVA,2022-09-09,2022-10-03,Art. 6(1)(b),Phase I,K.65,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10889_8532126_87_3.pdf
M.10696,ARAMCO OVERSEAS COMPANY / BP EUROPA / LOTOS-AIR BP POLSKA,2022-09-07,2022-09-29,Art. 6(1)(b),Phase I,G.46,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10696_8531441_106_3.pdf
M.10872,GEELY / RENAULT / RENAULT KOREA MOTORS,2022-09-05,2022-09-28,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10872_8531439_104_3.pdf
M.10869,P2X EUROPE / NVG / P2X PORTUGAL JV,2022-09-05,2022-09-27,Art. 6(1)(b),Phase I,G.46|C.20|C.19,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10869_8532124_109_3.pdf
M.10858,RAFFLES / APG / CMGO / TSH,2022-09-02,2022-09-27,Art. 6(1)(b),Phase I,L.68,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10858_8525043_158_3.pdf
M.10879,EMZ PARTNERS / IK INVESTMENT / OAKLEY CAPITAL / MR VALENTIN SCHÜTT / WISHCARD,2022-09-01,2022-09-27,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10879_8525040_112_3.pdf
M.10864,AGC GLASS EUROPE / INTERPANE,2022-08-30,2022-09-21,Art. 6(1)(b),Phase I,C.23,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10864_8525013_82_3.pdf
M.10846,CVC FUNDS / VISMA CUSTOM SOLUTIONS,2022-08-25,2022-09-16,Art. 6(1)(b),Phase I,M.70|J.62|J.58,1,https://ec.europa.eu/competition/mergers/cases1/202239/M_10846_8504975_311_3.pdf
M.10868,DIGITALBRIDGE / BROOKFIELD / DTAG / JV,2022-08-24,2022-09-15,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases1/202239/M_10868_8504976_98_3.pdf
M.10870,CAPVEST / NATRA,2022-08-22,2022-09-20,Art. 6(1)(b),Phase I,C.10,1,https://ec.europa.eu/competition/mergers/cases1/202241/M_10870_8531999_79_3.pdf
M.10851,CVC / PLATINUM IVY / TMF GROUP,2022-08-19,2022-09-14,Art. 6(1)(b),Phase I,N.82,1,https://ec.europa.eu/competition/mergers/cases1/202239/M_10851_8506556_93_3.pdf
M.10898,PLATINUM EQUITY GROUP / HOP LUN,2022-08-19,2022-09-13,Art. 6(1)(b),Phase I,G.46|C.14|G.47,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10898_8525027_129_3.pdf
M.10819,OMERS / APG / GROENDUS,2022-08-17,2022-09-15,Art. 6(1)(b),Phase I,C.26|M.71|D.35,1,https://ec.europa.eu/competition/mergers/cases1/202240/M_10819_8525035_153_3.pdf
M.10871,E.ON / FSI / WESTENERGIE BREITBAND,2022-08-17,2022-09-07,Art. 6(1)(b),Phase I,J.61|F.42,1,https://ec.europa.eu/competition/mergers/cases1/202237/M_10871_8488684_137_3.pdf
M.10848,PERMIRA / H&F / ZENDESK,2022-08-17,2022-09-09,Art. 6(1)(b),Phase I,J.58,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10848_8494644_202_3.pdf
M.10856,OAKTREE / CPP INVESTMENTS / PORTS AMERICA,2022-08-17,2022-09-09,Art. 6(1)(b),Phase I,H.52,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10856_8495539_102_3.pdf
M.10844,INFRAVIA / P4 / FIBERFORCE,2022-08-17,2022-09-08,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases1/202238/M_10844_8495662_85_3.pdf
